[15:48:42	]Teodor Jeske has fired a toolgun with the name: remover
[15:48:43	]Teodor Jeske has fired a toolgun with the name: remover
[15:48:47	]Teodor Jeske has given himself a wrench.
[15:48:47	]Teodor Jeske has gained a 'Klucz' #5870.
[15:48:49	]Teodor Jeske ran 'drop' on item 'Klucz' (#5870)
[15:48:49	]Teodor Jeske has lost a 'Klucz' #5870.
[15:49:03	]Teodor Jeske ran 'take' on item 'Data-Disc' (#5602)
[15:49:03	]Teodor Jeske has gained a 'Data-Disc' #5602.
[15:49:06	]Teodor Jeske ran 'drop' on item 'Data-Disc' (#5602)
[15:49:06	]Teodor Jeske has lost a 'Data-Disc' #5602.
[15:49:12	]Teodor Jeske ran 'take' on item 'Data-Disc' (#5602)
[15:49:12	]Teodor Jeske has gained a 'Data-Disc' #5602.
[15:49:22	]Teodor Jeske ran 'SetCredits' on item 'Karta identyfikacyjna #79989' (#2323)
[15:49:23	]Wenli ustawił(a) kredyty karty #2323's na 2000.
[15:49:24	]Teodor Jeske ran 'insert' on item 'Karta identyfikacyjna #79989' (#2323)
[15:49:24	]Teodor Jeske has lost a 'Karta identyfikacyjna #79989' #2323.
[15:49:25	]Teodor Jeske ran 'insert' on item 'Karta dostępu: Zarząd CWU' (#5594)
[15:49:25	]Teodor Jeske has lost a 'Karta dostępu: Zarząd CWU' #5594.
[15:49:35	]Teodor Jeske has spawned a combinebattery.
[15:49:35	]Teodor Jeske has spawned a combinebattery.
[15:49:35	]Teodor Jeske has spawned a combinebattery.
[15:49:37	]Teodor Jeske ran 'SetFullCharge' on item 'Combine Battery' (#5872)
[15:49:43	]Teodor Jeske ran 'SetFullCharge' on item 'Combine Battery' (#5871)
[15:49:57	]Teodor Jeske has used a context menu option with the name: remove
[15:50:01	]Teodor Jeske ran 'drop' on item 'Data-Disc' (#5602)
[15:50:01	]Teodor Jeske has lost a 'Data-Disc' #5602.
[15:50:18	]Teodor Jeske has spawned a comp_resin.
[15:50:18	]Teodor Jeske has spawned a comp_resin.
[15:50:19	]Teodor Jeske has spawned a comp_resin.
[15:50:19	]Teodor Jeske has spawned a comp_resin.
[15:50:20	]Teodor Jeske has spawned a comp_resin.
[15:50:21	]Teodor Jeske has spawned a comp_resin.
[15:50:21	]Teodor Jeske has spawned a comp_resin.
[15:50:21	]Teodor Jeske has spawned a comp_resin.
[15:50:22	]Teodor Jeske ran 'take' on item 'Resin' (#5881)
[15:50:22	]Teodor Jeske has gained a 'Resin' #5881.
[15:50:23	]Teodor Jeske ran 'take' on item 'Resin' (#5880)
[15:50:23	]Teodor Jeske has gained a 'Resin' #5880.
[15:50:24	]Teodor Jeske ran 'take' on item 'Resin' (#5879)
[15:50:24	]Teodor Jeske has gained a 'Resin' #5879.
[15:50:24	]Teodor Jeske ran 'take' on item 'Resin' (#5878)
[15:50:24	]Teodor Jeske has gained a 'Resin' #5878.
[15:50:25	]Teodor Jeske ran 'take' on item 'Resin' (#5877)
[15:50:25	]Teodor Jeske has gained a 'Resin' #5877.
[15:50:29	]Teodor Jeske has spawned a comp_resin.
[15:50:30	]Teodor Jeske ran 'take' on item 'Resin' (#5882)
[15:50:30	]Teodor Jeske has gained a 'Resin' #5882.
[15:50:33	]Teodor Jeske has spawned a comp_resin.
[15:50:33	]Teodor Jeske ran 'take' on item 'Resin' (#5883)
[15:50:33	]Teodor Jeske has gained a 'Resin' #5883.
[15:50:34	]Teodor Jeske has spawned a comp_resin.
[15:50:35	]Teodor Jeske ran 'take' on item 'Resin' (#5884)
[15:50:35	]Teodor Jeske has gained a 'Resin' #5884.
[15:51:02	]Teodor Jeske ran 'take' on item 'Klucz' (#5885)
[15:51:02	]Teodor Jeske has gained a 'Klucz' #5885.
[15:51:05	]Teodor Jeske ran 'drop' on item 'Klucz' (#5885)
[15:51:05	]Teodor Jeske has lost a 'Klucz' #5885.
[15:55:38	]Teodor Jeske has used a context menu option with the name: remove
[15:55:42	]Teodor Jeske has used a context menu option with the name: remove
[15:55:44	]Teodor Jeske has used a context menu option with the name: remove
[15:55:44	]Teodor Jeske entered observer.
[15:55:45	]Teodor Jeske exited observer at their location.
[15:55:46	]Teodor Jeske entered observer.
[15:55:52	]Wenli (STEAM_0:1:86169246) has disconnected.
