[17:53:25	]Garet a activé le mode observateur.
[17:53:29	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:30	]Garet a activé le mode observateur.
[17:53:31	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:32	]Garet a activé le mode observateur.
[17:53:32	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:33	]Garet a activé le mode observateur.
[17:53:33	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:35	]Garet a activé le mode observateur.
[17:53:36	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:37	]Garet a activé le mode observateur.
[17:53:42	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:43	]Garet a activé le mode observateur.
[17:53:44	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:45	]Garet a activé le mode observateur.
[17:53:45	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:46	]Garet a activé le mode observateur.
[17:53:46	]Garet a désactivé le mode observateur à son point d'origine.
[17:53:47	]Garet a activé le mode observateur.
[17:54:12	]Garet a désactivé le mode observateur à son point d'origine.
[17:54:13	]Garet a activé le mode observateur.
[17:54:14	]Garet a désactivé le mode observateur à son point d'origine.
[17:54:14	]Garet a activé le mode observateur.
[17:55:58	]Garet a désactivé le mode observateur à son point d'origine.
[17:55:58	]Garet a activé le mode observateur.
[17:55:59	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:00	]Garet a activé le mode observateur.
[17:56:00	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:01	]Garet a activé le mode observateur.
[17:56:01	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:02	]Garet a activé le mode observateur.
[17:56:03	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:04	]Garet a activé le mode observateur.
[17:56:05	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:06	]Garet a activé le mode observateur.
[17:56:07	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:07	]Garet a activé le mode observateur.
[17:56:08	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:10	]Garet a activé le mode observateur.
[17:56:11	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:11	]Garet a activé le mode observateur.
[17:56:12	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:12	]Garet a activé le mode observateur.
[17:56:13	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:14	]Garet a activé le mode observateur.
[17:56:15	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:17	]Garet a activé le mode observateur.
[17:56:18	]Garet a désactivé le mode observateur à son point d'origine.
[17:56:19	]Garet a activé le mode observateur.
[17:56:20	]Garet a désactivé le mode observateur à son point d'origine.
