[16:28:40	]Joe Rock entered observer.
[16:28:41	]Joe Rock exited observer at their location.
[16:28:41	]Joe Rock entered observer.
[16:28:42	]Joe Rock exited observer at their location.
[16:28:42	]Joe Rock entered observer.
[16:28:43	]Joe Rock exited observer at their location.
[16:28:44	]Joe Rock entered observer.
[16:28:48	]Joe Rock exited observer at their location.
[16:28:50	]Joe Rock entered observer.
[16:28:51	]Joe Rock exited observer at their location.
[16:28:53	]Joe Rock entered observer.
[16:28:55	]Joe Rock exited observer at their location.
[16:28:55	]Joe Rock entered observer.
[16:29:07	]Joe Rock exited observer at their location.
[16:29:08	]Joe Rock entered observer.
[16:29:10	]Joe Rock exited observer at their location.
[16:29:10	]Joe Rock entered observer.
[16:29:12	]Joe Rock exited observer at their location.
[16:29:12	]Joe Rock entered observer.
[16:29:13	]Joe Rock exited observer at their location.
[16:29:13	]Joe Rock entered observer.
[16:29:17	]Joe Rock exited observer at their location.
[16:29:18	]Joe Rock entered observer.
[16:29:24	]Joe Rock exited observer at their location.
[16:29:24	]Joe Rock entered observer.
[16:29:25	]Joe Rock exited observer at their location.
[16:29:26	]Joe Rock entered observer.
[16:29:26	]Joe Rock exited observer at their location.
[16:29:27	]Joe Rock entered observer.
[16:29:27	]Joe Rock exited observer at their location.
[16:29:28	]Joe Rock entered observer.
[16:29:29	]Joe Rock exited observer at their location.
[16:35:29	]deathguard has connected.
[16:35:54	]Joe Rock has gone afk.
[16:36:01	]deathguard loaded the character 'Frederic Schopenhauer'
[16:36:32	][LOOC] Frederic Schopenhauer: sinoyr cephanelik
[16:36:40	][LOOC] Frederic Schopenhauer: sinyor cephanelik
[16:37:14	]Frederic Schopenhauer ran 'take' on item 'Tarihi Geçmiş Yapay Macun' (#23212)
[16:37:14	]Frederic Schopenhauer has gained a 'Tarihi Geçmiş Yapay Macun' #23212.
[16:37:16	]Frederic Schopenhauer ran 'take' on item 'Boş Breen'in Suyu' (#31936)
[16:37:16	]Frederic Schopenhauer has gained a 'Boş Breen'in Suyu' #31936.
[16:37:18	]Frederic Schopenhauer ran 'take' on item 'Boş Breen'in Suyu' (#31940)
[16:37:18	]Frederic Schopenhauer has gained a 'Boş Breen'in Suyu' #31940.
[16:37:33	]Frederic Schopenhauer ran 'drop' on item 'Tarihi Geçmiş Yapay Macun' (#23212)
[16:37:33	]Frederic Schopenhauer has lost a 'Tarihi Geçmiş Yapay Macun' #23212.
[16:38:10	]Frederic Schopenhauer opened the 'Metal Çöp Kutusu' #3654 container.
[16:38:11	]Frederic Schopenhauer closed the 'Metal Çöp Kutusu' #3654 container.
[16:38:14	]Frederic Schopenhauer opened the 'Metal Çöp Kutusu' #3654 container.
