[15:22:30	]Lokalny Obywatel has fired a toolgun with the name: remover
[15:22:31	]Lokalny Obywatel has fired a toolgun with the name: remover
[15:22:48	]Lokalny Obywatel used command '/TextRemove'.
[15:23:13	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:23:34	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:23:34	]C24:RL.JURY-1 ran SAM command 'menu' with arguments: ''
[15:23:41	]C24:RL.JURY-1 ran SAM command 'goto' with arguments: '#2'
[15:23:43	]C24:RL.JURY-1 entered observer.
[15:23:45	]C24:RL.JURY-1 exited observer.
[15:23:49	]C24:RL.JURY-1 entered observer.
[15:23:50	]C24:RL.JURY-1 exited observer.
[15:23:54	]C24:RL.JURY-1 ran SAM command 'goto' with arguments: 'lokalny'
[15:24:06	]Lokalny Obywatel used command '/AreaEdit'.
[15:24:35	]Lokalny Obywatel used command '/AreaEdit'.
[15:24:39	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:24:41	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:24:45	]Lokalny Obywatel has removed area "Lobby Szpitalu".
[15:24:49	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:25:05	]Lokalny Obywatel has added area "Lobby Szpitala".
[15:25:09	]Lokalny Obywatel used command '/AreaEdit'.
[15:25:11	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:26:31	]Lokalny Obywatel has spawned 'models/props_c17/bench01a.mdl'.
[15:26:35	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:26:35	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:27:14	]Lokalny Obywatel has fired a toolgun with the name: advdupe2
[15:27:14	]Lokalny Obywatel has spawned 'models/props_c17/bench01a.mdl'.
[15:27:22	]Lokalny Obywatel has fired a toolgun with the name: advdupe2
[15:27:22	]Lokalny Obywatel has spawned 'models/props_c17/bench01a.mdl'.
[15:27:44	]Chogacz (STEAM_0:1:36976287) has disconnected.
[15:29:10	]Lokalny Obywatel has spawned 'models/props_c17/chair_office01a.mdl'.
[15:29:21	]Lokalny Obywatel has fired a toolgun with the name: advdupe2
[15:29:22	]Lokalny Obywatel has spawned 'models/props_c17/chair_office01a.mdl'.
[15:29:41	]Lokalny Obywatel has spawned 'models/props_c17/chair02a.mdl'.
[15:29:51	]Lokalny Obywatel has fired a toolgun with the name: advdupe2
[15:29:51	]Lokalny Obywatel has spawned 'models/props_c17/chair02a.mdl'.
[15:30:26	]Lokalny Obywatel has fired a toolgun with the name: advdupe2
